year,hot_days,hot_nights,hw_events,hw_days,hn_events,hn_days,city,period
2005,0,1,0,0,0,0,Miami,baseline
2006,0,3,0,0,0,0,Miami,baseline
2007,6,5,0,0,0,0,Miami,baseline
2008,15,5,1,4,0,0,Miami,baseline
2009,27,18,5,19,3,12,Miami,baseline
2010,7,3,0,0,0,0,Miami,baseline
2011,0,0,0,0,0,0,Miami,baseline
2012,17,22,5,15,1,8,Miami,baseline
2013,0,12,0,0,0,0,Miami,baseline
2014,2,5,0,0,0,0,Miami,baseline
2015,4,6,0,0,1,4,Miami,baseline
2016,3,2,1,3,0,0,Miami,baseline
2017,9,6,0,0,1,5,Miami,baseline
2018,18,27,3,12,5,19,Miami,baseline
2019,0,3,0,0,0,0,Miami,baseline
2020,7,4,1,5,0,0,Miami,baseline
2021,4,6,0,0,1,4,Miami,baseline
2022,1,2,0,0,0,0,Miami,baseline
2023,21,29,2,9,3,24,Miami,baseline
2024,24,12,4,19,1,3,Miami,baseline
2025,10,14,2,8,1,4,Miami,baseline
2026,29,23,5,19,1,3,Miami,baseline
2027,0,0,0,0,0,0,Miami,future
2028,5,5,0,0,0,0,Miami,future
2029,16,16,2,13,1,6,Miami,future
2030,19,22,3,12,3,15,Miami,future
2031,8,17,1,4,2,10,Miami,future
2032,5,14,0,0,1,6,Miami,future
2033,0,1,0,0,0,0,Miami,future
2034,18,26,4,13,1,16,Miami,future
2035,7,14,0,0,1,3,Miami,future
2036,24,29,2,18,1,18,Miami,future
2037,7,15,0,0,3,12,Miami,future
2038,22,30,4,17,3,22,Miami,future
2039,0,1,0,0,0,0,Miami,future
2040,0,0,0,0,0,0,Miami,future
2041,5,4,0,0,1,3,Miami,future
2042,33,41,5,21,6,32,Miami,future
2043,16,32,2,7,5,21,Miami,future
2044,10,18,1,3,2,12,Miami,future
2045,51,46,8,45,4,37,Miami,future
2046,34,41,4,30,3,35,Miami,future
2047,13,42,1,8,5,29,Miami,future
2048,18,18,1,3,2,10,Miami,future
2049,34,55,4,26,5,51,Miami,future
2050,24,26,2,11,4,21,Miami,future
2051,18,25,2,17,1,18,Miami,future
2052,47,75,5,34,2,69,Miami,future
2053,47,65,6,42,4,60,Miami,future
2054,10,25,0,0,4,22,Miami,future
2055,26,55,3,10,6,50,Miami,future
2056,53,72,5,48,6,67,Miami,future
2057,29,57,3,21,6,51,Miami,future
